SELECT ID, (DAYS(CURRENT DATE) - DAYS(HIREDATE)) / 365 AS YEARS_OF_SERVICE FROM EMPLOYEES;

ID          YEARS_OF_SERVICE
----------- ----------------
       1001               10
       1002                6
       1003                5
       1004               12
       1005                7
       1006                4
       1007               25
       1008                5
       1009               15
       1010                2
       1011                3
       1012                6
       1013               10
       1014                5
       1015                7
       1016                2
       1017                3
       1018                8
       1019               16
       1020               12
       1021                2
       1022               16
       1023                7
       1024                3
       1025                2
       1026               10
       1027                4
       1028               12
       1029                9
       1030               20
